Book-Title,Book-Rating,ISBN,Publisher,Image,Genre
When the Laird Returns: Book Two of The Highland Lords,0,380813017,Avon,http://images.amazon.com/images/P/0380813017.01.MZZZZZZZ.jpg,Mystery
I Have Lived a Thousand Years : Growing Up in the Holocaust,3,689810229,Simon &amp, Schuster Children's Publishing,Mystery
Only by Your Touch (Signet Books),4,451207947,Signet Book,http://images.amazon.com/images/P/0451207947.01.MZZZZZZZ.jpg,fiction
The Wind's Twelve Quarters,5,055302907X,Bantam Doubleday Dell,http://images.amazon.com/images/P/055302907X.01.MZZZZZZZ.jpg,fantasy
The Berenstain Bears in the Freaky Funhouse (A Big Chapter Books),1,679872442,Random House Children's Books,http://images.amazon.com/images/P/0679872442.01.MZZZZZZZ.jpg,Mystery
How to Be Good,5,1573229326,Riverhead Books,http://images.amazon.com/images/P/1573229326.01.MZZZZZZZ.jpg,Mystery
Tirant Lo Blanc,4,801854210,Johns Hopkins University Press,http://images.amazon.com/images/P/0801854210.01.MZZZZZZZ.jpg,fantasy
"The Bedroom Surrender   Mistress To A Millionaire (Harlequin Presents, 2356)",4,373123566,Harlequin,http://images.amazon.com/images/P/0373123566.01.MZZZZZZZ.jpg,fiction
Great Garden Formulas : The Ultimate Book of Mix-It-Yourself Concoctions for Gardeners,3,875967981,Rodale Press,http://images.amazon.com/images/P/0875967981.01.MZZZZZZZ.jpg,Novel
"Perfect Kiss (Silhouette Shadows, No 24)",4,373270240,Silhouette,http://images.amazon.com/images/P/0373270240.01.MZZZZZZZ.jpg,self-help
"By the Book (Harlequin Blaze, No 85)",4,373790899,Harlequin,http://images.amazon.com/images/P/0373790899.01.MZZZZZZZ.jpg,Novel
Off Camera: Private Thoughts Made Public (Vintage),4,375727086,Vintage Books USA,http://images.amazon.com/images/P/0375727086.01.MZZZZZZZ.jpg,fiction
Seeds of Yesterday (Dollanganger),1,671729489,Pocket,http://images.amazon.com/images/P/0671729489.01.MZZZZZZZ.jpg,fantasy
Winter,1,345359313,Del Rey Books,http://images.amazon.com/images/P/0345359313.01.MZZZZZZZ.jpg,fantasy
The Diamond Cat,3,312956606,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312956606.01.MZZZZZZZ.jpg,Mystery
Psychiatric Nursing Care Plans,3,323014828,C.V. Mosby,http://images.amazon.com/images/P/0323014828.01.MZZZZZZZ.jpg,Sci-Fi
"The Carbohydrate Addict's Lifespan Program: A Personalized Plan for Becoming Slim, Fit, &amp; Healthy in Your 40S, 50S, 60s &amp; Beyond",5,525941746,Penguin USA,http://images.amazon.com/images/P/0525941746.01.MZZZZZZZ.jpg,Sci-Fi
Lonesome Traveler,1,802130747,Grove Press,http://images.amazon.com/images/P/0802130747.01.MZZZZZZZ.jpg,fiction
"Dude, Where's My Country?",1,446532231,Warner Books,http://images.amazon.com/images/P/0446532231.01.MZZZZZZZ.jpg,self-help
Baltic Exchange: From Baltick Coffee House to Baltic Exchange,4,1870948912,Quiller Press Ltd,http://images.amazon.com/images/P/1870948912.01.MZZZZZZZ.jpg,Sci-Fi
Die Glut. Sonderausgabe.,5,3492235875,Piper,http://images.amazon.com/images/P/3492235875.01.MZZZZZZZ.jpg,Mystery
Wraeththu (Wraeththu),0,312890001,Orb Books,http://images.amazon.com/images/P/0312890001.01.MZZZZZZZ.jpg,fantasy
The Best Spiritual Writing 2001 (Best Spiritual Writing),2,62517724,HarperSanFrancisco,http://images.amazon.com/images/P/0062517724.01.MZZZZZZZ.jpg,Novel
The Angelic Darkness,2,1900850303,Arcadia Books,http://images.amazon.com/images/P/1900850303.01.MZZZZZZZ.jpg,Sci-Fi
Thief of Time,3,60199563,HarperCollins Publishers,http://images.amazon.com/images/P/0060199563.01.MZZZZZZZ.jpg,Novel
Fried Green Tomatoes at the Whistle Stop Cafe,0,70212570,McGraw-Hill,http://images.amazon.com/images/P/0070212570.01.MZZZZZZZ.jpg,Sci-Fi
Floodgate,3,449203433,Fawcett Books,http://images.amazon.com/images/P/0449203433.01.MZZZZZZZ.jpg,Mystery
Intensive Care: The Story of a Nurse,5,804102511,Ivy Books,http://images.amazon.com/images/P/0804102511.01.MZZZZZZZ.jpg,fantasy
Virgins of Venice: Broken Vows and Cloistered Lives in the Renaissance Convent,1,670031836,Viking Books,http://images.amazon.com/images/P/0670031836.01.MZZZZZZZ.jpg,Sci-Fi
Material Witness,5,451180208,Signet Book,http://images.amazon.com/images/P/0451180208.01.MZZZZZZZ.jpg,Sci-Fi
"Making The \Terrible\"" Twos Terrific""",1,836228111,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836228111.01.MZZZZZZZ.jpg,self-help
Uncle Tom's Children (Perennial Library),0,60812516,Perennial,http://images.amazon.com/images/P/0060812516.01.MZZZZZZZ.jpg,fiction
Man Who Mistook His Wife for a Hat,2,330294911,Pan Books Ltd,http://images.amazon.com/images/P/0330294911.01.MZZZZZZZ.jpg,Mystery
Naked at Work (And Other Fears): How to Stay Sane When Your Job Drives You Crazy,5,451207084,New American Library,http://images.amazon.com/images/P/0451207084.01.MZZZZZZZ.jpg,self-help
Adventures of Sherlock Holmes (Wordsworth Collection),1,1853260339,NTC/Contemporary Publishing Company,http://images.amazon.com/images/P/1853260339.01.MZZZZZZZ.jpg,self-help
The Bachelor (Warner Books Contemporary Romance),3,446610542,Warner Forever,http://images.amazon.com/images/P/0446610542.01.MZZZZZZZ.jpg,self-help
Fortune's Rocks : A Novel,4,316678104,Back Bay Books,http://images.amazon.com/images/P/0316678104.01.MZZZZZZZ.jpg,self-help
The Outside of August,3,345439155,Ballantine Books,http://images.amazon.com/images/P/0345439155.01.MZZZZZZZ.jpg,self-help
Suttree (Vintage Contemporaries),4,679736328,Vintage Books USA,http://images.amazon.com/images/P/0679736328.01.MZZZZZZZ.jpg,Sci-Fi
Women Who Run with the Wolves,3,345396812,Ballantine Books,http://images.amazon.com/images/P/0345396812.01.MZZZZZZZ.jpg,Mystery
"Call Up The Wind (Harlequin Presents No, 11620)",5,373116209,Harlequin,http://images.amazon.com/images/P/0373116209.01.MZZZZZZZ.jpg,fiction
Fatal Voyage,4,671028375,Pocket,http://images.amazon.com/images/P/0671028375.01.MZZZZZZZ.jpg,fantasy
Night Train to Memphis,2,446602485,Warner Books,http://images.amazon.com/images/P/0446602485.01.MZZZZZZZ.jpg,self-help
A Cup of Tea (Ballantine Reader's Circle),5,345425707,Ballantine Books,http://images.amazon.com/images/P/0345425707.01.MZZZZZZZ.jpg,fiction
A Prayer for Owen Meany,0,345361792,Ballantine Books,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg,Mystery
The Reader,0,375707972,Vintage Books USA,http://images.amazon.com/images/P/0375707972.01.MZZZZZZZ.jpg,Mystery
Bride's Book of Etiquette,5,399514961,Berkley Pub Group,http://images.amazon.com/images/P/0399514961.01.MZZZZZZZ.jpg,fiction
Martha Inc.: The Incredible Story of Martha Stewart Living Omnimedia,0,471123005,Wiley,http://images.amazon.com/images/P/0471123005.01.MZZZZZZZ.jpg,Mystery
Burro Genius : A Memoir,1,60526122,Rayo,http://images.amazon.com/images/P/0060526122.01.MZZZZZZZ.jpg,self-help
Baudolino,2,151006903,Harcourt,http://images.amazon.com/images/P/0151006903.01.MZZZZZZZ.jpg,Novel
The Client,2,038542471X,Doubleday Books,http://images.amazon.com/images/P/038542471X.01.MZZZZZZZ.jpg,self-help
The madwoman's underclothes: Essays and occasional writings,5,871131609,Atlantic Monthly Press,http://images.amazon.com/images/P/0871131609.01.MZZZZZZZ.jpg,Sci-Fi
Comedy of Neil Simon,2,380007894,Harpercollins,http://images.amazon.com/images/P/0380007894.01.MZZZZZZZ.jpg,fantasy
Possession : A Romance,0,679735909,Vintage,http://images.amazon.com/images/P/0679735909.01.MZZZZZZZ.jpg,fantasy
A Thin Dark Line (Mysteries &amp,5,553571885,1998,Bantam,fantasy
Big Fish,3,142004278,Penguin USA (Paper),http://images.amazon.com/images/P/0142004278.01.MZZZZZZZ.jpg,Novel
City of Light,2,044023512X,Island,http://images.amazon.com/images/P/044023512X.01.MZZZZZZZ.jpg,Novel
Ethics: Inventing Right and Wrong,5,140135588,Penguin Books,http://images.amazon.com/images/P/0140135588.01.MZZZZZZZ.jpg,Sci-Fi
The Smoke Jumper,3,440235162,Dell Publishing Company,http://images.amazon.com/images/P/0440235162.01.MZZZZZZZ.jpg,fiction
"Virtual Vandals (Tom Clancy's Net Force; Young Adults, No. 1)",1,425161730,Berkley Publishing Group,http://images.amazon.com/images/P/0425161730.01.MZZZZZZZ.jpg,Novel
A Little Princess,3,397306938,HarperCollins,http://images.amazon.com/images/P/0397306938.01.MZZZZZZZ.jpg,Novel
"Emprise (Trigon Disunity/Trilogy, Book 1)",2,441180744,Ace Books,http://images.amazon.com/images/P/0441180744.01.MZZZZZZZ.jpg,Sci-Fi
The Haunted Palace (Disney's the Little Mermaid),5,1562825038,Disney Pr,http://images.amazon.com/images/P/1562825038.01.MZZZZZZZ.jpg,fiction
Under The Dragon: Travels in Burma,5,6530826,Trafalgar Square,http://images.amazon.com/images/P/0006530826.01.MZZZZZZZ.jpg,Mystery
Virgin in the Ice (Brother Cadfael Mysteries),2,446404284,Warner Books,http://images.amazon.com/images/P/0446404284.01.MZZZZZZZ.jpg,fantasy
Grim City,0,031211429X,St Martins Pr,http://images.amazon.com/images/P/031211429X.01.MZZZZZZZ.jpg,self-help
Amrita,3,080211590X,Pub Group West,http://images.amazon.com/images/P/080211590X.01.MZZZZZZZ.jpg,self-help
"Eaters of the Dead: The Manuscript of Ibn Fadlan, Relating His Experiences With the Northmen in A.D. 922",2,345383249,Ballantine Books,http://images.amazon.com/images/P/0345383249.01.MZZZZZZZ.jpg,Novel
Midnight Mistress (Meet Me at Midnight),3,553577468,Fanfare,http://images.amazon.com/images/P/0553577468.01.MZZZZZZZ.jpg,Novel
One Hundred Years of Solitude,4,60929790,Perennial,http://images.amazon.com/images/P/0060929790.01.MZZZZZZZ.jpg,Sci-Fi
Der Kuss des Vampirs.,0,3442451612,Goldmann,http://images.amazon.com/images/P/3442451612.01.MZZZZZZZ.jpg,fantasy
"Sugar Baby (Women Who Dare) (Harlequin Superromance, No 712)",3,373707126,Harlequin,http://images.amazon.com/images/P/0373707126.01.MZZZZZZZ.jpg,Novel
Mercy of a Rude Stream Volume 1- A Star Shines Over Mt. Morris,1,312104995,St Martins Pr,http://images.amazon.com/images/P/0312104995.01.MZZZZZZZ.jpg,Mystery
Why Aren't They Screaming?,3,449217779,Fawcett Books,http://images.amazon.com/images/P/0449217779.01.MZZZZZZZ.jpg,Mystery
In Contempt,4,60391839,Harpercollins,http://images.amazon.com/images/P/0060391839.01.MZZZZZZZ.jpg,Mystery
The Stone Monkey (Lincoln Rhyme Novels (Paperback)),2,743437802,Pocket,http://images.amazon.com/images/P/0743437802.01.MZZZZZZZ.jpg,fantasy
A Beautiful Place to Die : The First Martha's Vineyard Mystery (Martha's Vineyard Mysteries (Avon Books)),5,380711559,Avon,http://images.amazon.com/images/P/0380711559.01.MZZZZZZZ.jpg,Mystery
The Last Bus to Albuquerque,3,1563521830,Longstreet Press,http://images.amazon.com/images/P/1563521830.01.MZZZZZZZ.jpg,Sci-Fi
Storm Warning,4,1551668084,Mira,http://images.amazon.com/images/P/1551668084.01.MZZZZZZZ.jpg,fantasy
Devices and Desires,3,446359750,Warner Books,http://images.amazon.com/images/P/0446359750.01.MZZZZZZZ.jpg,Mystery
Mercedes Nights,4,312010664,Bookthrift Co,http://images.amazon.com/images/P/0312010664.01.MZZZZZZZ.jpg,Mystery
The Glass Teat: Essays of Opinion on the Subject of Television,1,441289886,Ace Books,http://images.amazon.com/images/P/0441289886.01.MZZZZZZZ.jpg,Novel
DINOSAUR BEACH,0,671655817,Baen,http://images.amazon.com/images/P/0671655817.01.MZZZZZZZ.jpg,fiction
Here on Earth (Oprah's Book Club),0,425169693,Berkley Publishing Group,http://images.amazon.com/images/P/0425169693.01.MZZZZZZZ.jpg,Sci-Fi
The Dragons of Eden: Speculations on the Evolution of Human Intelligence,0,394410459,Random House Inc,http://images.amazon.com/images/P/0394410459.01.MZZZZZZZ.jpg,Novel
"These High, Green Hills (The Mitford Years)",2,140257934,Viking Books,http://images.amazon.com/images/P/0140257934.01.MZZZZZZZ.jpg,fantasy
The Other Daughter,2,553576798,Bantam,http://images.amazon.com/images/P/0553576798.01.MZZZZZZZ.jpg,Sci-Fi
Time Pressure,2,441809332,Ace Books,http://images.amazon.com/images/P/0441809332.01.MZZZZZZZ.jpg,Mystery
Secrets of the Tsil Cafe: A Novel With Recipes,5,399147551,Bluehen Books,http://images.amazon.com/images/P/0399147551.01.MZZZZZZZ.jpg,Mystery
Their Eyes Were Watching God,2,60931418,Perennial,http://images.amazon.com/images/P/0060931418.01.MZZZZZZZ.jpg,Novel
Le Monde de Sophie,0,2020219492,Seuil,http://images.amazon.com/images/P/2020219492.01.MZZZZZZZ.jpg,self-help
Female Intelligence,3,312979886,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312979886.01.MZZZZZZZ.jpg,fantasy
"Western Mining: An Informal Account of Precious Metals Prospecting, Placering, Lode Mining and Milling on the American Frontier from Spanish Times T",4,806113529,University of Oklahoma Press,http://images.amazon.com/images/P/0806113529.01.MZZZZZZZ.jpg,Sci-Fi
"Marriage Scheme (Silhouette Romance, No 996)",5,373089961,Silhouette,http://images.amazon.com/images/P/0373089961.01.MZZZZZZZ.jpg,Sci-Fi
Berestain Bears and the Big Red Kite,5,895777312,Penguin Putnam~childrens Hc,http://images.amazon.com/images/P/0895777312.01.MZZZZZZZ.jpg,Mystery
"The Golden Compass (His Dark Materials, Book 1)",0,037582345X,Knopf Books for Young Readers,http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg,Mystery
Why do Clocks Run Clockwise? and Other Imponderables,5,60954639,Hallmark,http://images.amazon.com/images/P/0060954639.01.MZZZZZZZ.jpg,fiction
Secret Splendor,3,1551660954,Mira,http://images.amazon.com/images/P/1551660954.01.MZZZZZZZ.jpg,Mystery
"Scion's Lady (Gil trilogy, Book 2)",1,441007880,Ace Books,http://images.amazon.com/images/P/0441007880.01.MZZZZZZZ.jpg,fiction
Wayward Wind,2,445202149,Warner Books,http://images.amazon.com/images/P/0445202149.01.MZZZZZZZ.jpg,Mystery
Booze,0,770508936,1972,Macmillan of Canada,self-help
